cycle,position,ax_raw_g,ay_raw_g,az_raw_g
1,+Z,-0.019043,0.015625,0.971191
1,+Z,-0.018066,0.01709,0.966797
1,+Z,-0.010742,0.019287,0.960449
1,+Z,-0.019043,0.017578,0.965332
1,+Z,-0.01709,0.012207,0.966309
1,+Z,-0.010498,0.015869,0.963623
1,+Z,-0.016846,0.018555,0.966309
1,+Z,-0.011719,0.017578,0.96582
1,+Z,-0.015381,0.013916,0.962891
1,+Z,-0.021729,0.016357,0.968262
1,+Z,-0.011719,0.015625,0.967285
1,+Z,-0.016846,0.017578,0.963379
1,+Z,-0.019531,0.017822,0.967529
1,+Z,-0.018311,0.013428,0.969482
1,+Z,-0.013916,0.020264,0.969482
1,+Z,-0.01709,0.017822,0.970215
1,+Z,-0.017822,0.012939,0.967529
1,+Z,-0.014893,0.014648,0.965576
1,+Z,-0.010986,0.020996,0.960205
1,+Z,-0.024414,0.014893,0.962402
1,+Z,-0.015869,0.016846,0.974854
1,+Z,-0.020508,0.014648,0.966797
1,+Z,-0.019531,0.01709,0.964844
1,+Z,-0.021973,0.012451,0.968262
1,+Z,-0.016602,0.015381,0.971191
1,+Z,-0.022461,0.018555,0.9646
1,+Z,-0.019775,0.014648,0.965332
1,+Z,-0.01123,0.01416,0.9646
1,+Z,-0.010986,0.019287,0.957031
1,+Z,-0.014404,0.019043,0.968018
1,+Z,-0.017822,0.014404,0.965576
1,+Z,-0.009033,0.019775,0.961914
1,+Z,-0.016357,0.018311,0.963379
1,+Z,-0.022705,0.009766,0.964355
1,+Z,-0.025635,0.014893,0.969238
1,+Z,-0.015625,0.017822,0.963135
1,+Z,-0.015869,0.01709,0.973145
1,+Z,-0.025879,0.011719,0.9646
1,+Z,-0.013916,0.018066,0.962158
1,+Z,-0.02002,0.014893,0.961914
1,+Z,-0.011963,0.013672,0.963867
1,+Z,-0.015137,0.013672,0.962402
1,+Z,-0.015869,0.014648,0.964355
1,+Z,-0.010742,0.019287,0.962402
1,+Z,-0.020264,0.016113,0.965332
1,+Z,-0.009277,0.019043,0.958984
1,+Z,-0.011475,0.019531,0.95752
1,+Z,-0.02124,0.012939,0.965576
1,+Z,-0.010498,0.010742,0.959961
1,+Z,-0.015137,0.016602,0.961182
1,+Z,-0.015381,0.012939,0.960938
1,+Z,-0.01709,0.012695,0.966064
1,+Z,-0.018799,0.019531,0.965332
1,+Z,-0.014404,0.016602,0.9646
1,+Z,-0.02002,0.011719,0.975098
1,+Z,-0.015869,0.014404,0.96582
1,+Z,-0.018555,0.018555,0.965332
1,+Z,-0.018555,0.018555,0.966553
1,+Z,-0.021484,0.014648,0.965332
1,+Z,-0.010254,0.01709,0.967529
1,+Z,-0.01709,0.019531,0.969971
1,+Z,-0.015869,0.015137,0.960205
1,+Z,-0.012939,0.016357,0.969482
1,+Z,-0.01001,0.01709,0.965332
1,+Z,-0.017578,0.017334,0.959961
1,+Z,-0.016357,0.014648,0.962646
1,+Z,-0.013916,0.019775,0.96167
1,+Z,-0.008057,0.017822,0.965576
1,+Z,-0.01416,0.019043,0.968018
1,+Z,-0.022705,0.006348,0.967285
1,+Z,-0.016113,0.017334,0.967285
1,+Z,-0.019043,0.015381,0.968018
1,+Z,-0.01709,0.01416,0.961182
1,+Z,-0.023193,0.013184,0.966553
1,+Z,-0.016113,0.016846,0.963135
1,+Z,-0.013672,0.020264,0.958008
1,+Z,-0.018799,0.011475,0.960938
1,+Z,-0.018555,0.015137,0.964111
1,+Z,-0.013672,0.018799,0.965088
1,+Z,-0.014404,0.015869,0.965088
1,+Z,-0.009033,0.015381,0.960693
1,+Z,-0.015869,0.013428,0.960205
1,+Z,-0.016113,0.01123,0.961914
1,+Z,-0.01709,0.013184,0.964844
1,+Z,-0.011719,0.018799,0.96582
1,+Z,-0.014404,0.015137,0.97168
1,+Z,-0.02002,0.010986,0.967529
1,+Z,-0.018555,0.016846,0.967285
1,+Z,-0.012695,0.017334,0.968262
1,+Z,-0.021729,0.011719,0.970459
1,+Z,-0.021729,0.011719,0.967285
1,+Z,-0.018799,0.016602,0.968018
1,+Z,-0.019043,0.013916,0.964111
1,+Z,-0.012207,0.022949,0.96167
1,+Z,-0.018311,0.016846,0.962158
1,+Z,-0.01709,0.015869,0.971191
1,+Z,-0.011963,0.02002,0.961182
1,+Z,-0.013428,0.017822,0.960693
1,+Z,-0.019287,0.014893,0.965088
1,+Z,-0.011719,0.016602,0.961426
1,+Z,-0.013184,0.02124,0.964111
1,+Z,-0.01123,0.015137,0.959229
1,+Z,-0.012695,0.016602,0.962158
1,+Z,-0.015869,0.01416,0.96582
1,+Z,-0.016113,0.018799,0.969482
1,+Z,-0.01001,0.018799,0.960938
1,+Z,-0.020508,0.011719,0.958496
1,+Z,-0.011963,0.017334,0.959473
1,+Z,-0.012939,0.017822,0.95752
1,+Z,-0.015137,0.016357,0.962646
1,+Z,-0.013916,0.015625,0.96582
1,+Z,-0.007812,0.021729,0.960938
1,+Z,-0.01123,0.015869,0.956299
1,+Z,-0.017822,0.01416,0.966797
1,+Z,-0.014893,0.02002,0.962402
1,+Z,-0.013184,0.016357,0.95874
1,+Z,-0.010742,0.018311,0.9646
1,+Z,-0.022949,0.013672,0.968994
1,+Z,-0.016357,0.010254,0.966309
1,+Z,-0.014404,0.016602,0.968262
1,+Z,-0.022217,0.014404,0.968506
1,+Z,-0.019775,0.013672,0.967773
1,+Z,-0.015869,0.015137,0.970947
1,+Z,-0.019775,0.017334,0.966309
1,+Z,-0.022461,0.014893,0.964844
1,+Z,-0.020264,0.013428,0.976074
1,+Z,-0.019531,0.019531,0.967773
1,+Z,-0.017578,0.015625,0.966064
1,+Z,-0.021729,0.01416,0.96875
1,+Z,-0.01709,0.017334,0.969727
1,+Z,-0.010254,0.018555,0.967041
1,+Z,-0.018066,0.016357,0.965576
1,+Z,-0.013672,0.015381,0.961182
1,+Z,-0.013428,0.014404,0.963135
1,+Z,-0.012451,0.021484,0.960205
1,+Z,-0.014893,0.017334,0.967773
1,+Z,-0.019775,0.012695,0.967041
1,+Z,-0.017578,0.015869,0.971191
1,+Z,-0.014893,0.01709,0.955078
1,+Z,-0.019287,0.016357,0.969971
1,+Z,-0.022461,0.01416,0.966309
1,+Z,-0.02002,0.014404,0.966797
1,+Z,-0.016113,0.016602,0.963135
1,+Z,-0.020508,0.013428,0.959961
1,+Z,-0.020752,0.015381,0.9646
1,+Z,-0.012939,0.01416,0.963623
1,+Z,-0.016357,0.018555,0.965088
1,+Z,-0.011963,0.017822,0.961426
1,+Z,-0.017822,0.012695,0.964844
1,+Z,-0.012939,0.019531,0.9646
1,+Z,-0.012939,0.020508,0.965332
1,+Z,-0.017822,0.012939,0.969482
1,+Z,-0.01416,0.015381,0.963379
1,+Z,-0.012939,0.01709,0.968018
1,+Z,-0.012939,0.012207,0.965088
1,+Z,-0.015381,0.020752,0.959229
1,+Z,-0.026123,0.014893,0.9646
1,+Z,-0.014893,0.016113,0.95752
1,+Z,-0.018066,0.01709,0.962646
1,+Z,-0.021484,0.010742,0.962891
1,+Z,-0.017578,0.013184,0.97168
1,+Z,-0.015869,0.019287,0.968262
1,+Z,-0.017822,0.012695,0.960693
1,+Z,-0.025146,0.013184,0.964844
1,+Z,-0.020996,0.014893,0.967041
1,+Z,-0.013916,0.013428,0.965576
1,+Z,-0.01001,0.019043,0.963867
1,+Z,-0.019043,0.018311,0.967285
1,+Z,-0.016113,0.017578,0.965088
1,+Z,-0.010742,0.019775,0.967285
1,+Z,-0.015869,0.016602,0.963379
1,+Z,-0.016113,0.014893,0.964844
1,+Z,-0.020264,0.015381,0.9646
1,+Z,-0.014893,0.018555,0.964844
1,+Z,-0.021729,0.018066,0.971191
1,+Z,-0.023193,0.012939,0.968262
1,+Z,-0.018311,0.01416,0.967529
1,+Z,-0.016602,0.020996,0.964111
1,+Z,-0.014648,0.018311,0.959717
1,+Z,-0.013428,0.020996,0.964355
1,+Z,-0.015381,0.015381,0.958496
1,+Z,-0.01416,0.021729,0.959717
1,+Z,-0.011475,0.016602,0.968262
1,+Z,-0.010742,0.018311,0.968506
1,+Z,-0.009521,0.018555,0.962646
1,+Z,-0.01709,0.020508,0.972412
1,+Z,-0.01709,0.012451,0.959717
1,+Z,-0.014648,0.020264,0.962646
1,+Z,-0.008789,0.021484,0.969482
1,+Z,-0.018311,0.018311,0.962891
1,+Z,-0.017578,0.015137,0.964355
1,-Z,-0.007812,-0.029053,-1.056396
1,-Z,-0.00708,-0.026611,-1.055908
1,-Z,-0.015869,-0.0271,-1.061035
1,-Z,-0.016602,-0.025879,-1.047852
1,-Z,-0.013916,-0.031982,-1.051025
1,-Z,-0.001709,-0.029297,-1.065186
1,-Z,-0.006348,-0.020752,-1.056641
1,-Z,-0.011719,-0.025879,-1.060791
1,-Z,-0.012451,-0.024414,-1.052002
1,-Z,-0.010742,-0.030273,-1.061279
1,-Z,-0.00415,-0.02832,-1.055664
1,-Z,-0.012939,-0.027832,-1.057861
1,-Z,-0.021729,-0.02832,-1.057861
1,-Z,-0.017334,-0.029785,-1.053467
1,-Z,-0.01001,-0.027344,-1.058838
1,-Z,-0.002197,-0.027832,-1.055176
1,-Z,-0.006104,-0.024658,-1.062012
1,-Z,-0.009766,-0.024658,-1.061035
1,-Z,-0.009521,-0.0271,-1.060791
1,-Z,-0.01001,-0.031738,-1.056152
1,-Z,-0.001465,-0.025146,-1.053711
1,-Z,-0.01123,-0.030273,-1.045166
1,-Z,-0.015869,-0.025146,-1.058594
1,-Z,-0.012695,-0.026123,-1.057861
1,-Z,-0.017578,-0.023926,-1.043945
1,-Z,-0.014893,-0.030518,-1.046875
1,-Z,-0.017334,-0.029297,-1.05127
1,-Z,-0.017578,-0.029297,-1.052246
1,-Z,-0.010986,-0.026855,-1.055908
1,-Z,-0.008545,-0.026611,-1.043457
1,-Z,-0.006836,-0.030273,-1.057129
1,-Z,-0.013428,-0.023438,-1.054688
1,-Z,-0.012451,-0.026855,-1.054932
1,-Z,-0.010742,-0.023926,-1.058838
1,-Z,-0.005371,-0.028564,-1.052979
1,-Z,-0.012939,-0.030518,-1.047607
1,-Z,-0.009277,-0.028564,-1.057373
1,-Z,-0.016602,-0.029297,-1.050049
1,-Z,-0.022217,-0.025391,-1.052002
1,-Z,-0.009766,-0.032227,-1.054688
1,-Z,-0.002686,-0.025635,-1.050781
1,-Z,-0.010254,-0.02417,-1.067383
1,-Z,-0.009033,-0.025879,-1.058105
1,-Z,-0.009277,-0.026611,-1.053711
1,-Z,-0.005127,-0.026855,-1.058594
1,-Z,-0.004883,-0.028076,-1.047363
1,-Z,-0.01123,-0.025146,-1.060303
1,-Z,-0.019043,-0.023438,-1.049072
1,-Z,-0.012451,-0.029785,-1.052734
1,-Z,-0.010254,-0.025879,-1.053467
1,-Z,-0.018311,-0.022949,-1.052979
1,-Z,-0.008057,-0.024902,-1.058594
1,-Z,-0.012695,-0.029541,-1.053955
1,-Z,-0.005371,-0.027832,-1.059326
1,-Z,-0.00293,-0.027832,-1.058105
1,-Z,-0.003174,-0.024414,-1.057373
1,-Z,-0.009277,-0.027832,-1.056641
1,-Z,-0.008301,-0.03125,-1.056152
1,-Z,-0.00415,-0.029785,-1.055664
1,-Z,-0.008789,-0.028564,-1.057129
1,-Z,-0.01123,-0.020508,-1.063721
1,-Z,-0.015381,-0.026367,-1.050781
1,-Z,-0.016602,-0.028564,-1.049561
1,-Z,-0.015625,-0.0271,-1.053955
1,-Z,-0.016602,-0.025391,-1.058838
1,-Z,-0.019287,-0.021484,-1.05127
1,-Z,-0.009521,-0.027344,-1.05542
1,-Z,-0.013184,-0.024902,-1.053467
1,-Z,-0.000977,-0.026855,-1.058594
1,-Z,-0.002686,-0.025879,-1.053467
1,-Z,-0.01001,-0.027832,-1.056152
1,-Z,-0.010742,-0.030273,-1.05957
1,-Z,-0.003906,-0.026855,-1.053223
1,-Z,-0.001709,-0.0271,-1.056152
1,-Z,-0.013916,-0.025146,-1.054443
1,-Z,-0.017578,-0.0271,-1.05835
1,-Z,-0.01709,-0.029541,-1.056641
1,-Z,-0.013672,-0.028809,-1.052734
1,-Z,-0.007324,-0.027344,-1.052002
1,-Z,-0.012939,-0.028564,-1.053711
1,-Z,-0.012207,-0.02417,-1.058594
1,-Z,-0.012695,-0.022949,-1.053955
1,-Z,-0.003906,-0.029297,-1.049316
1,-Z,-0.002441,-0.0271,-1.055908
1,-Z,-0.007812,-0.024658,-1.060547
1,-Z,-0.00708,-0.023682,-1.056396
1,-Z,-0.009277,-0.022949,-1.053711
1,-Z,-0.015381,-0.026611,-1.054443
1,-Z,-0.020264,-0.024658,-1.057617
1,-Z,-0.01416,-0.031006,-1.061279
1,-Z,-0.017822,-0.024414,-1.059326
1,-Z,-0.016602,-0.024414,-1.054688
1,-Z,-0.012451,-0.029297,-1.054688
1,-Z,-0.019775,-0.03125,-1.05249
1,-Z,-0.020264,-0.024414,-1.048096
1,-Z,-0.015869,-0.023926,-1.060303
1,-Z,-0.014893,-0.028076,-1.055908
1,-Z,-0.016602,-0.030762,-1.055664
1,-Z,-0.018311,-0.027344,-1.057129
1,-Z,-0.019287,-0.026855,-1.049316
1,-Z,-0.01709,-0.023438,-1.052002
1,-Z,-0.003418,-0.029297,-1.053223
1,-Z,-0.012451,-0.027588,-1.055664
1,-Z,-0.013916,-0.028809,-1.051514
1,-Z,-0.012207,-0.022949,-1.052734
1,-Z,-0.011963,-0.028076,-1.052979
1,-Z,-0.013428,-0.030273,-1.051025
1,-Z,-0.01709,-0.0271,-1.057129
1,-Z,-0.013672,-0.030029,-1.056152
1,-Z,-0.019775,-0.027588,-1.054199
1,-Z,-0.013916,-0.028564,-1.049316
1,-Z,-0.005615,-0.025635,-1.057861
1,-Z,-0.008545,-0.02832,-1.061523
1,-Z,-0.01416,-0.022217,-1.055664
1,-Z,-0.005859,-0.028809,-1.049316
1,-Z,0.001221,-0.02832,-1.056152
1,-Z,-0.007812,-0.029053,-1.051025
1,-Z,-0.011719,-0.030273,-1.057617
1,-Z,-0.010986,-0.023926,-1.057129
1,-Z,-0.008057,-0.030273,-1.055176
1,-Z,-0.005859,-0.031738,-1.053467
1,-Z,-0.006836,-0.027344,-1.064209
1,-Z,-0.012207,-0.024414,-1.052002
1,-Z,-0.010498,-0.027344,-1.049561
1,-Z,-0.001465,-0.027832,-1.058105
1,-Z,-0.012451,-0.029785,-1.056152
1,-Z,-0.013916,-0.025146,-1.060059
1,-Z,-0.012939,-0.023682,-1.055176
1,-Z,-0.015381,-0.029053,-1.054688
1,-Z,-0.004883,-0.028564,-1.053711
1,-Z,-0.012207,-0.027588,-1.055908
1,-Z,-0.01709,-0.028809,-1.0625
1,-Z,-0.013916,-0.029541,-1.054688
1,-Z,-0.01416,-0.023682,-1.049805
1,-Z,-0.01001,-0.029297,-1.054443
1,-Z,-0.015381,-0.026611,-1.055664
1,-Z,-0.017822,-0.025146,-1.051758
1,-Z,-0.01001,-0.026855,-1.059326
1,-Z,-0.013184,-0.02832,-1.046875
1,-Z,-0.012451,-0.031494,-1.049805
1,-Z,-0.016357,-0.027588,-1.056152
1,-Z,-0.010498,-0.026855,-1.057617
1,-Z,-0.015137,-0.027832,-1.049805
1,-Z,-0.015381,-0.03418,-1.050781
1,-Z,-0.014893,-0.029053,-1.045654
1,-Z,-0.020508,-0.027588,-1.054688
1,-Z,-0.009033,-0.028076,-1.064209
1,-Z,-0.010986,-0.030029,-1.051514
1,-Z,0.001953,-0.027344,-1.062012
1,-Z,-0.016113,-0.02832,-1.051514
1,-Z,-0.01001,-0.026367,-1.057861
1,-Z,-0.005615,-0.024902,-1.056152
1,-Z,-0.003906,-0.029053,-1.05835
1,-Z,-0.005371,-0.03125,-1.059326
1,-Z,-0.015137,-0.026855,-1.054932
1,-Z,-0.005127,-0.026611,-1.055664
1,-Z,-0.004883,-0.027344,-1.060059
1,-Z,0.000244,-0.023682,-1.054688
1,-Z,-0.009277,-0.025879,-1.052734
1,-Z,-0.023193,-0.025146,-1.050781
1,-Z,-0.01123,-0.025146,-1.061768
1,-Z,-0.01416,-0.033936,-1.046631
1,-Z,-0.008545,-0.026855,-1.050049
1,-Z,-0.016602,-0.027832,-1.057617
1,-Z,-0.020752,-0.023438,-1.054688
1,-Z,-0.008789,-0.030029,-1.056396
1,-Z,-0.005859,-0.026367,-1.059814
1,-Z,-0.013672,-0.023682,-1.049072
1,-Z,-0.018311,-0.030029,-1.05542
1,-Z,-0.004883,-0.026123,-1.057617
1,-Z,-0.014404,-0.029053,-1.054443
1,-Z,-0.001953,-0.027588,-1.059326
1,-Z,-0.014648,-0.026123,-1.052734
1,-Z,-0.011719,-0.023926,-1.048096
1,-Z,-0.008545,-0.023438,-1.055176
1,-Z,0.001709,-0.025879,-1.062012
1,-Z,-0.009033,-0.028076,-1.056152
1,-Z,-0.006104,-0.026611,-1.056885
1,-Z,-0.008301,-0.024902,-1.05127
1,-Z,-0.005859,-0.02832,-1.058594
1,-Z,-0.000732,-0.027344,-1.056396
1,-Z,-0.002197,-0.029541,-1.063477
1,-Z,-0.005859,-0.025879,-1.061523
1,-Z,-0.010254,-0.026367,-1.053955
1,-Z,-0.000977,-0.028809,-1.049316
1,-Z,0.000488,-0.028076,-1.05249
1,-Z,-0.012939,-0.030273,-1.053711
1,-Z,-0.013428,-0.026123,-1.054932
1,-Z,-0.005859,-0.019043,-1.050537
1,-Z,-0.00293,-0.027344,-1.062744
1,-Z,-0.01001,-0.030762,-1.053223
1,+X,0.984619,0.019531,-0.042725
1,+X,0.991943,0.024658,-0.037109
1,+X,0.993164,0.03125,-0.046875
1,+X,0.986572,0.031738,-0.041504
1,+X,0.990723,0.026611,-0.042725
1,+X,0.986816,0.022217,-0.041748
1,+X,0.989258,0.025879,-0.042236
1,+X,0.989746,0.029785,-0.043457
1,+X,0.985352,0.025635,-0.040527
1,+X,0.984131,0.021973,-0.03833
1,+X,0.983887,0.024658,-0.042725
1,+X,0.978271,0.015381,-0.044922
1,+X,0.985352,0.016113,-0.045654
1,+X,0.989014,0.020264,-0.040039
1,+X,0.988525,0.022949,-0.045166
1,+X,0.983887,0.022949,-0.039795
1,+X,0.985352,0.027344,-0.043213
1,+X,0.990234,0.031494,-0.043457
1,+X,0.986084,0.02124,-0.045166
1,+X,0.99292,0.020508,-0.040527
1,+X,0.99585,0.025879,-0.047607
1,+X,0.987793,0.030762,-0.041748
1,+X,0.988281,0.030762,-0.041992
1,+X,0.983398,0.021729,-0.041504
1,+X,0.984863,0.022217,-0.039307
1,+X,0.981689,0.023438,-0.038574
1,+X,0.98999,0.030029,-0.040527
1,+X,0.991455,0.023682,-0.039795
1,+X,0.982422,0.023438,-0.044434
1,+X,0.981689,0.023193,-0.033447
1,+X,0.990234,0.024658,-0.044189
1,+X,0.979736,0.029053,-0.035156
1,+X,0.987793,0.023926,-0.038574
1,+X,0.981934,0.025879,-0.043945
1,+X,0.983643,0.021973,-0.046143
1,+X,0.983887,0.02417,-0.040283
1,+X,0.985107,0.029053,-0.035889
1,+X,0.987061,0.025879,-0.041016
1,+X,0.992188,0.022217,-0.044189
1,+X,0.986084,0.023438,-0.042725
1,+X,0.987793,0.029297,-0.046631
1,+X,0.995117,0.029541,-0.048584
1,+X,0.990967,0.017822,-0.041504
1,+X,0.991211,0.02002,-0.043945
1,+X,0.98999,0.026611,-0.044189
1,+X,0.99292,0.030762,-0.04834
1,+X,0.989014,0.026855,-0.040771
1,+X,0.989746,0.021484,-0.04248
1,+X,0.995361,0.019043,-0.046631
1,+X,0.988281,0.030029,-0.041748
1,+X,0.988525,0.030273,-0.042969
1,+X,0.986084,0.027832,-0.041016
1,+X,0.987061,0.021973,-0.043213
1,+X,0.994141,0.018066,-0.046875
1,+X,0.98877,0.026855,-0.042236
1,+X,0.993652,0.029541,-0.041992
1,+X,0.989258,0.028076,-0.044434
1,+X,0.993408,0.018311,-0.039062
1,+X,0.994385,0.020752,-0.045654
1,+X,0.989258,0.0271,-0.039551
1,+X,0.987549,0.028564,-0.039307
1,+X,0.983887,0.021973,-0.039307
1,+X,0.983887,0.02002,-0.041016
1,+X,0.988281,0.024902,-0.041504
1,+X,0.989014,0.029053,-0.041992
1,+X,0.984131,0.022461,-0.041748
1,+X,0.990234,0.02002,-0.045654
1,+X,0.995117,0.020996,-0.048584
1,+X,0.984619,0.025635,-0.036621
1,+X,0.987549,0.027588,-0.037354
1,+X,0.986816,0.028076,-0.040283
1,+X,0.98584,0.023682,-0.040039
1,+X,0.990723,0.027588,-0.038818
1,+X,0.985352,0.029053,-0.039307
1,+X,0.980713,0.022705,-0.039062
1,+X,0.989746,0.020996,-0.039551
1,+X,0.981201,0.024658,-0.041016
1,+X,0.981689,0.024414,-0.038818
1,+X,0.988525,0.027344,-0.041504
1,+X,0.991455,0.027344,-0.044922
1,+X,0.988037,0.019043,-0.042969
1,+X,0.988281,0.029541,-0.038818
1,+X,0.987793,0.023438,-0.036621
1,+X,0.989746,0.025146,-0.043213
1,+X,0.990234,0.019775,-0.040283
1,+X,0.984375,0.023682,-0.043945
1,+X,0.98877,0.029785,-0.045898
1,+X,0.981201,0.030273,-0.037109
1,+X,0.97998,0.020264,-0.033203
1,+X,0.98584,0.023438,-0.037354
1,+X,0.988525,0.027588,-0.040527
1,+X,0.985596,0.030518,-0.038574
1,+X,0.982422,0.025635,-0.032959
1,+X,0.985352,0.020752,-0.037354
1,+X,0.989502,0.021973,-0.043945
1,+X,0.988281,0.024414,-0.042236
1,+X,0.985596,0.027588,-0.045654
1,+X,0.984131,0.024414,-0.04126
1,+X,0.985596,0.022461,-0.04126
1,+X,0.991211,0.025879,-0.044678
1,+X,0.984375,0.028809,-0.033691
1,+X,0.986328,0.024902,-0.041992
1,+X,0.982422,0.021973,-0.043457
1,+X,0.990967,0.020508,-0.04541
1,+X,0.984863,0.020264,-0.040771
1,+X,0.986572,0.032959,-0.03418
1,+X,0.990967,0.026855,-0.037842
1,+X,0.990723,0.025391,-0.04834
1,+X,0.989746,0.020264,-0.038574
1,+X,0.985107,0.022705,-0.035645
1,+X,0.989014,0.029541,-0.04541
1,+X,0.989258,0.025635,-0.04541
1,+X,0.983887,0.023682,-0.037109
1,+X,0.985107,0.02124,-0.038818
1,+X,0.985596,0.030518,-0.044922
1,+X,0.98584,0.027344,-0.038086
1,+X,0.985352,0.026611,-0.037109
1,+X,0.979004,0.023682,-0.036377
1,+X,0.990479,0.022705,-0.038086
1,+X,0.986816,0.025635,-0.036133
1,+X,0.981201,0.029297,-0.042236
1,+X,0.981689,0.025146,-0.044189
1,+X,0.984131,0.019775,-0.037354
1,+X,0.98584,0.023193,-0.038574
1,+X,0.982666,0.026367,-0.032715
1,+X,0.991211,0.027588,-0.041504
1,+X,0.992676,0.027588,-0.043945
1,+X,0.98877,0.021973,-0.040527
1,+X,0.996338,0.023682,-0.044678
1,+X,0.984619,0.030029,-0.042969
1,+X,0.988525,0.025879,-0.04126
1,+X,0.992188,0.019775,-0.044678
1,+X,0.98877,0.021973,-0.046143
1,+X,0.980469,0.026367,-0.039062
1,+X,0.983398,0.029785,-0.040527
1,+X,0.983643,0.025146,-0.034668
1,+X,0.984619,0.021973,-0.041504
1,+X,0.986816,0.026367,-0.051025
1,+X,0.983887,0.027588,-0.040527
1,+X,0.991455,0.026611,-0.040039
1,+X,0.992676,0.02002,-0.041504
1,+X,0.985596,0.019531,-0.04541
1,+X,0.983887,0.025391,-0.047363
1,+X,0.98584,0.028564,-0.044434
1,+X,0.994385,0.024658,-0.043701
1,+X,0.99292,0.023682,-0.046143
1,+X,0.989502,0.02002,-0.042969
1,+X,0.982422,0.027344,-0.037109
1,+X,0.987793,0.02417,-0.040771
1,+X,0.991211,0.024902,-0.040771
1,+X,0.992432,0.019775,-0.039551
1,+X,0.987793,0.021973,-0.045898
1,+X,0.989258,0.0271,-0.03833
1,+X,0.993164,0.030518,-0.044434
1,+X,0.988281,0.022949,-0.042236
1,+X,0.98584,0.020264,-0.039307
1,+X,0.984131,0.026611,-0.039062
1,+X,0.981934,0.028564,-0.037842
1,+X,0.988281,0.027832,-0.040039
1,+X,0.983154,0.02417,-0.039795
1,+X,0.979492,0.022217,-0.039307
1,+X,0.986328,0.025146,-0.038818
1,+X,0.980469,0.026367,-0.036133
1,+X,0.982178,0.022705,-0.0354
1,+X,0.981201,0.021729,-0.041504
1,+X,0.987793,0.021973,-0.040283
1,+X,0.990234,0.027344,-0.048096
1,+X,0.992432,0.030518,-0.04834
1,+X,0.985107,0.024414,-0.039307
1,+X,0.986572,0.019775,-0.037598
1,+X,0.991943,0.025391,-0.037842
1,+X,0.992676,0.027832,-0.042969
1,+X,0.989746,0.026855,-0.036133
1,+X,0.984619,0.023193,-0.04126
1,+X,0.984375,0.020752,-0.037109
1,+X,0.991943,0.027832,-0.046143
1,+X,0.98877,0.029541,-0.038818
1,+X,0.985596,0.018555,-0.039062
1,+X,0.987549,0.023193,-0.037354
1,+X,0.983887,0.028809,-0.040283
1,+X,0.987061,0.030029,-0.036621
1,+X,0.98999,0.022705,-0.042725
1,+X,0.987305,0.020996,-0.04126
1,+X,0.990234,0.020752,-0.047852
1,+X,0.993408,0.026123,-0.037354
1,+X,0.992676,0.029297,-0.040283
1,+X,0.991455,0.02417,-0.03833
1,+X,0.988525,0.019775,-0.038818
1,+X,0.992188,0.025391,-0.043945
1,+X,0.988525,0.026855,-0.042725
1,+X,0.988281,0.025879,-0.040771
1,-X,-1.00708,-0.03125,-0.05127
1,-X,-1.007568,-0.034424,-0.049561
1,-X,-1.010986,-0.033936,-0.050293
1,-X,-1.011475,-0.0354,-0.053223
1,-X,-1.006348,-0.027344,-0.052246
